pdb_id,designed_chain,n_residues,n_interface,n_surface_pool,mean_rsasa_interface,mean_rsasa_surface,observed_ratio,null_mean_ratio,null_sd_ratio,observed_minus_null,p_permutation,mean_rsasa_match_error
2Y8S,D,391,32,137,0.468675,0.4872270072992701,1.3050463948224742,1.4880251723161335,4.441114159760284e-16,-0.18297877749365932,9.999000099990002e-05,0.003249999999999995
2Y8T,D,395,35,143,0.4452885714285714,0.46884825174825173,1.3182279552719498,1.3892663606041855,2.220557079880142e-16,-0.07103840533223571,9.999000099990002e-05,0.0031028571428571394
2ZXE,B,265,38,107,0.4844605263157894,0.4693065420560748,1.0724475829547713,1.415184817631211,2.220557079880142e-16,-0.3427372346764397,9.999000099990002e-05,0.006944736842105259
3A3Y,B,265,38,109,0.47383684210526317,0.4721788990825688,1.0085731416284076,1.2707726590285886,0.013228039280468507,-0.262199517400181,9.999000099990002e-05,0.003951329999999992
3AAA,A,267,62,91,0.5037887096774194,0.45895714285714284,1.0953174861740838,1.3580838197861311,0.0024471125562726148,-0.2627663336120474,9.999000099990002e-05,0.013620967741935488
3BH6,B,314,28,115,0.42246071428571424,0.4675860869565217,1.4469309187729347,1.5378644081557196,0.0,-0.0909334893827849,9.999000099990002e-05,0.015964285714285712
3BH7,B,314,25,116,0.42450000000000004,0.46748362068965515,1.3336347786814202,1.480870994630173,2.220557079880142e-16,-0.1472362159487528,9.999000099990002e-05,0.017096
3BUK,C,159,22,80,0.4452500000000001,0.4805412499999999,1.143287461990312,1.229536461946979,0.006939894694515518,-0.08624899995666713,9.999000099990002e-05,0.003931818181818183
3G3A,A,167,12,68,0.43624999999999997,0.46674117647058827,1.415503824702952,1.4564595595529397,0.0,-0.0409557348499876,9.999000099990002e-05,0.004291666666666656
3G3B,A,169,10,70,0.4345800000000001,0.49505428571428567,1.3441543618516698,1.6737970516501868,2.220557079880142e-16,-0.32964268979851696,9.999000099990002e-05,0.004569999999999991
3GDU,A,294,24,111,0.5127666666666667,0.477573873873874,0.8971352775938307,1.5740018798197077,2.220557079880142e-16,-0.676866602225877,9.999000099990002e-05,0.002633333333333339
3GDV,A,295,25,120,0.510624,0.47851,1.0002591687041564,1.3934963325183374,0.0,-0.39323716381418095,9.999000099990002e-05,0.005087999999999995
3MTU,A,75,34,34,0.4710117647058823,0.5213147058823528,0.8559313777867167,1.2203572528487836,2.220557079880142e-16,-0.3644258750620669,9.999000099990002e-05,0.07311470588235293
3NDB,B,420,3,197,0.6544,0.4728005076142133,1.3722953494325971,1.0612728426799656,2.220557079880142e-16,0.31102250675263154,9.999000099990002e-05,0.0010999999999999899
3O1I,C,298,17,97,0.45522941176470594,0.46655773195876293,1.1959718865778766,1.3321890888386598,2.220557079880142e-16,-0.13621720226078327,9.999000099990002e-05,0.002170588235294123
3O1J,C,296,16,99,0.46301249999999994,0.45323737373737366,1.1164825354313135,1.6813302086820665,2.220557079880142e-16,-0.564847673250753,9.999000099990002e-05,0.004181250000000018
3PNL,A,356,23,115,0.42517391304347824,0.4463121739130435,1.5018592003414366,1.3867961127494741,0.0,0.11506308759196249,9.999000099990002e-05,0.0029434782608695675
3R2C,A,138,16,52,0.41985625,0.4790230769230769,0.9973747469635628,1.4653520821283978,2.220557079880142e-16,-0.4679773351648351,9.999000099990002e-05,0.00536249999999999
3R2D,B,138,15,54,0.4114333333333333,0.47555370370370365,1.1075576269051521,1.5151782340345132,0.0,-0.4076206071293611,9.999000099990002e-05,0.006039999999999987
3TFY,A,155,6,72,0.41225,0.5010916666666667,1.1441719705478597,1.204137027330588,2.220557079880142e-16,-0.05996505678272834,9.999000099990002e-05,0.0036666666666666514
3UA7,A,63,12,27,0.5592583333333333,0.5016074074074074,1.0441365979381443,1.5357603092783503,2.220557079880142e-16,-0.491623711340206,9.999000099990002e-05,0.025125000000000005
