pdb_id,chain,partner_chain,split,mmseqs_cluster_id,n_residues,n_interface,n_surface,n_core,buried_surface_area_a2,n_modified_residues_mapped,n_interface_delta_sasa,n_interface_contact,n_interface_both,n_interface_delta_sasa_only,n_interface_contact_only,interface_definition_jaccard,interface_source,native_sha256
2NMV,B,A,test,cluster_2NMV,38,10,18,10,440.7697846965099,0,30,23,21,9,2,0.65625,native,f7c9f2a3b3e0a2d2f86186cf36855e9dfe1a8d3f96d87e6f05fc123981f5d287
2NMV,A,B,test,cluster_2NMV,620,11,254,355,475.6115300565532,0,30,23,21,9,2,0.65625,native,f7c9f2a3b3e0a2d2f86186cf36855e9dfe1a8d3f96d87e6f05fc123981f5d287
3NDB,B,A,test,cluster_3NDB,420,3,197,220,96.38978031076438,0,5,3,3,2,0,0.6,native,f4dd1a9ed313d4595ca0c948a44c3177c7d23e41656fa8dcc144b40632ce03f2
3NDB,A,B,test,cluster_3NDB,87,2,49,36,91.50485506184451,0,5,3,3,2,0,0.6,native,f4dd1a9ed313d4595ca0c948a44c3177c7d23e41656fa8dcc144b40632ce03f2
2Z5H,C,D,test,cluster_2Z5H,52,30,22,0,1362.5718421751187,0,59,56,56,3,0,0.9491525423728814,native,7738382235c6b06c541c526cca06d4083ccea287b2c4ef2c966ea91a0f0c22cb
2Z5H,D,C,test,cluster_2Z5H,49,29,20,0,1377.1114597015685,0,59,56,56,3,0,0.9491525423728814,native,7738382235c6b06c541c526cca06d4083ccea287b2c4ef2c966ea91a0f0c22cb
2Z5I,C,D,test,cluster_2Z5I,50,28,21,1,1286.5058289881463,0,59,57,57,2,0,0.9661016949152542,native,e438e671f23be7da6d6d408bd7770433cfb5a54e4e3a977e9214222cd18cb86d
2Z5I,D,C,test,cluster_2Z5I,49,30,19,0,1315.3392658318282,0,59,57,57,2,0,0.9661016949152542,native,e438e671f23be7da6d6d408bd7770433cfb5a54e4e3a977e9214222cd18cb86d
2ZXE,B,A,test,cluster_2ZXE,265,38,107,120,2027.5675372123126,0,107,106,100,7,6,0.8849557522123894,native,0f88372224b5b36986369f6781a7dc577fe9917826acb21125e81630924bcef3
2ZXE,A,B,test,cluster_2ZXE,992,37,361,594,2083.6359559911607,0,107,106,100,7,6,0.8849557522123894,native,0f88372224b5b36986369f6781a7dc577fe9917826acb21125e81630924bcef3
3A3Y,B,A,test,cluster_3A3Y,265,38,109,118,1909.9604454288515,0,103,98,97,6,1,0.9326923076923077,native,2b199eceec19b547f6241685e0f438acbdedbde0c7c47c7501bf47ed9433c7b7
3A3Y,A,B,test,cluster_3A3Y,992,34,369,589,1934.0827499292109,0,103,98,97,6,1,0.9326923076923077,native,2b199eceec19b547f6241685e0f438acbdedbde0c7c47c7501bf47ed9433c7b7
3GDV,A,B,test,cluster_3GDV,295,25,120,150,1104.0077209449087,0,68,65,63,5,2,0.9,native,b1c45ea9020c7ec1d0ec87bcc815576c027e616ff575c333bf99852923e16ef8
3GDV,B,A,test,cluster_3GDV,283,25,119,139,1094.3341162796041,0,68,65,63,5,2,0.9,native,b1c45ea9020c7ec1d0ec87bcc815576c027e616ff575c333bf99852923e16ef8
3GDU,A,B,test,cluster_3GDU,294,24,111,159,1198.524307786414,0,67,67,64,3,3,0.9142857142857143,native,234bd54e2b31ea0204c8cd2e29ce19d5a4d94d555a78074ccf4ec3cfb9eb768c
3GDU,B,A,test,cluster_3GDU,278,25,120,133,1179.6236821346986,0,67,67,64,3,3,0.9142857142857143,native,234bd54e2b31ea0204c8cd2e29ce19d5a4d94d555a78074ccf4ec3cfb9eb768c
1FS2,A,B,test,cluster_1FS2,259,24,97,138,1151.382410373477,0,57,55,54,3,1,0.9310344827586207,native,cdb63189fee5b73730d36dadd85fa06408914ba89564f93843f64c4d3d29aa50
1FS2,B,A,test,cluster_1FS2,128,20,54,54,1131.4874329477882,0,57,55,54,3,1,0.9310344827586207,native,cdb63189fee5b73730d36dadd85fa06408914ba89564f93843f64c4d3d29aa50
2AST,B,A,test,cluster_2AST,325,26,115,184,1473.9755953702836,0,73,69,68,5,1,0.918918918918919,native,50516f572cffc42e922a0578dc6ce7eae9a6fe96043c2e52b38ab50a1b4c4fc2
2AST,A,B,test,cluster_2AST,142,30,65,47,1479.2507818250024,0,73,69,68,5,1,0.918918918918919,native,50516f572cffc42e922a0578dc6ce7eae9a6fe96043c2e52b38ab50a1b4c4fc2
3AAA,A,B,test,cluster_3AAA,267,62,91,114,3675.890453884317,0,170,166,162,8,4,0.9310344827586207,native,2060578da808d42e0d8d913a705dcf27a776bde1950917fba9052ff5290f9c40
3AAA,B,A,test,cluster_3AAA,250,64,81,105,3569.2091930315137,0,170,166,162,8,4,0.9310344827586207,native,2060578da808d42e0d8d913a705dcf27a776bde1950917fba9052ff5290f9c40
1IZN,A,B,test,cluster_1IZN,275,62,98,115,3872.6469189469144,0,180,175,171,9,4,0.9293478260869565,native,a869d29120c914384a5c0feda349c45f45eeb808919bbd795a7210af4ac7b52f
1IZN,B,A,test,cluster_1IZN,270,67,93,110,3760.6722127028866,0,180,175,171,9,4,0.9293478260869565,native,a869d29120c914384a5c0feda349c45f45eeb808919bbd795a7210af4ac7b52f
3MTU,A,B,test,cluster_3MTU,75,34,34,7,1708.0487650517916,3,76,76,74,2,2,0.9487179487179487,native,79266c723f4b9c84d245582c6ddd06049060139f4ceba71146f15a5d7f2e7f40
3MTU,B,A,test,cluster_3MTU,68,35,28,5,1737.9620678214771,3,76,76,74,2,2,0.9487179487179487,native,79266c723f4b9c84d245582c6ddd06049060139f4ceba71146f15a5d7f2e7f40
3GJO,A,B,test,cluster_3GJO,66,34,25,7,1674.9342421999506,0,76,77,75,1,2,0.9615384615384616,native,0c8414c113901ea24d12896c8e358059f9e56c725afda83b9ca21ed5baf4c6be
3GJO,B,A,test,cluster_3GJO,64,36,24,4,1673.7511561057204,0,76,77,75,1,2,0.9615384615384616,native,0c8414c113901ea24d12896c8e358059f9e56c725afda83b9ca21ed5baf4c6be
1XQH,A,B,test,cluster_1XQH,250,11,117,122,446.6934461404127,0,27,24,24,3,0,0.8888888888888888,native,bc0a76d72aec07cc1968a5f4ff2e299cfb26355cc6d41cdff0d617bd16b8f32d
1XQH,B,A,test,cluster_1XQH,5,5,0,0,521.8576463066165,0,27,24,24,3,0,0.8888888888888888,native,bc0a76d72aec07cc1968a5f4ff2e299cfb26355cc6d41cdff0d617bd16b8f32d
1O9S,A,K,test,cluster_1O9S,250,11,118,121,460.24714392757147,0,30,28,28,2,0,0.9333333333333333,native,25c3db6dd4e5b2d13cb58ebb9f7e02d69b7fc699710fa2c7d8696f36e656f50e
1O9S,K,A,test,cluster_1O9S,9,8,1,0,603.0724910917812,0,30,28,28,2,0,0.9333333333333333,native,25c3db6dd4e5b2d13cb58ebb9f7e02d69b7fc699710fa2c7d8696f36e656f50e
3O1I,C,A,test,cluster_3O1I,298,17,97,184,920.4886958202196,0,52,45,44,8,1,0.8301886792452831,native,e35ef367e1792feb498ba077da57dfcfec02e77fe4afd9f6c3f8bea78bf10650
3O1I,A,C,test,cluster_3O1I,269,25,133,111,906.3961143620054,0,52,45,44,8,1,0.8301886792452831,native,e35ef367e1792feb498ba077da57dfcfec02e77fe4afd9f6c3f8bea78bf10650
3O1J,C,B,test,cluster_3O1J,296,16,99,181,896.2195658456023,0,52,44,44,8,0,0.8461538461538461,native,87fb09ff067abcbad40852e28855cbe5c14ef9412b7a082127ed4b447c95a7fc
3O1J,B,C,test,cluster_3O1J,273,24,134,115,891.3122724569891,0,52,44,44,8,0,0.8461538461538461,native,87fb09ff067abcbad40852e28855cbe5c14ef9412b7a082127ed4b447c95a7fc
1BWU,D,A,test,cluster_1BWU,109,26,33,50,1513.4288720201603,0,76,75,74,2,1,0.961038961038961,native,5fb2bcf86a5faf5322ad44891aad0cd28b144976bdf049f4898f8023bcc75fa3
1BWU,A,D,test,cluster_1BWU,106,26,36,44,1513.3145180475697,0,76,75,74,2,1,0.961038961038961,native,5fb2bcf86a5faf5322ad44891aad0cd28b144976bdf049f4898f8023bcc75fa3
1KJ1,A,D,test,cluster_1KJ1,109,28,32,49,1566.3489625707684,0,82,78,78,4,0,0.9512195121951219,native,2d2080236974319a3eeec90cd367dd5af88e4ef14d2686b2e2c56119a9aa086d
1KJ1,D,A,test,cluster_1KJ1,109,29,31,49,1580.8240643504844,0,82,78,78,4,0,0.9512195121951219,native,2d2080236974319a3eeec90cd367dd5af88e4ef14d2686b2e2c56119a9aa086d
1I7S,B,A,test,cluster_1I7S,192,27,60,105,1508.3145979411577,0,85,74,72,13,2,0.8275862068965517,native,54b0d4b4b1f07f4d8465db4ad5e3ca5acf549a1f620b56e3ddf6a762dbeb09fc
1I7S,A,B,test,cluster_1I7S,511,32,161,318,1458.1215731766833,0,85,74,72,13,2,0.8275862068965517,native,54b0d4b4b1f07f4d8465db4ad5e3ca5acf549a1f620b56e3ddf6a762dbeb09fc
1I7Q,B,A,test,cluster_1I7Q,192,24,60,108,1551.7576972610939,0,81,81,76,5,5,0.8837209302325582,native,aefb50ec60999a78c02b72827139903bbc647cd9acf5321417fffd0ce427e040
1I7Q,A,B,test,cluster_1I7Q,517,32,151,334,1530.0910626407106,0,81,81,76,5,5,0.8837209302325582,native,aefb50ec60999a78c02b72827139903bbc647cd9acf5321417fffd0ce427e040
1X27,B,D,test,cluster_1X27,164,20,66,78,930.3896009971965,0,54,52,52,2,0,0.9629629629629629,native,ff259342c43f50934f180739ecd541069f711da0e0eaac9587d86a04e4f283f2
1X27,D,B,test,cluster_1X27,163,21,67,75,952.760919982521,0,54,52,52,2,0,0.9629629629629629,native,ff259342c43f50934f180739ecd541069f711da0e0eaac9587d86a04e4f283f2
3UA7,A,B,test,cluster_3UA7,63,12,27,24,535.7565045954398,0,36,36,36,0,0,1.0,native,de8913d209db9eff1c1f8032bab95cf0a246bdf90cbc02998e2c7eb09f73d136
3UA7,B,A,test,cluster_3UA7,63,12,26,25,541.1180345826505,0,36,36,36,0,0,1.0,native,de8913d209db9eff1c1f8032bab95cf0a246bdf90cbc02998e2c7eb09f73d136
1SG1,X,A,test,cluster_1SG1,160,16,89,55,573.854447909076,0,40,34,34,6,0,0.85,native,2cfcbe0f96d2c2dd126841d56c66580a469eda2953fbc90d33a8a9c5dbec2753
1SG1,A,X,test,cluster_1SG1,99,14,53,32,614.2459423553917,0,40,34,34,6,0,0.85,native,2cfcbe0f96d2c2dd126841d56c66580a469eda2953fbc90d33a8a9c5dbec2753
3BUK,C,B,test,cluster_3BUK,159,22,80,57,713.2159001461787,0,47,41,41,6,0,0.8723404255319149,native,57b101ac38a07eecdfbdf20a0971b53ad4da8c2cb75e86209e6b64bf3112e339
3BUK,B,C,test,cluster_3BUK,111,20,57,34,756.4632908101669,0,47,41,41,6,0,0.8723404255319149,native,57b101ac38a07eecdfbdf20a0971b53ad4da8c2cb75e86209e6b64bf3112e339
1BOU,B,A,test,cluster_1BOU,298,32,86,180,2127.787107463362,0,104,105,100,4,5,0.9174311926605505,native,0831b22c93ea81835b05eebb914d3b6d4da4f23f79fbd3fb53168275a36ffcdc
1BOU,A,B,test,cluster_1BOU,132,39,46,47,2028.382064222794,0,104,105,100,4,5,0.9174311926605505,native,0831b22c93ea81835b05eebb914d3b6d4da4f23f79fbd3fb53168275a36ffcdc
1B4U,B,A,test,cluster_1B4U,298,33,87,178,2134.051769940256,0,103,101,98,5,3,0.9245283018867925,native,d47c502b46f20b0aa48c3c4b3a570a9c210c37dbdb92454a0691f85c45a3bf15
1B4U,A,B,test,cluster_1B4U,132,36,47,49,2029.6305205769602,0,103,101,98,5,3,0.9245283018867925,native,d47c502b46f20b0aa48c3c4b3a570a9c210c37dbdb92454a0691f85c45a3bf15
1GO4,A,G,test,cluster_1GO4,196,26,68,102,1307.9289650451346,0,71,67,65,6,2,0.8904109589041096,native,f867d421f51313129234fe240203632b94fcf831b061664455761962c23254f4
1GO4,G,A,test,cluster_1GO4,100,25,72,3,1496.9558429764681,0,71,67,65,6,2,0.8904109589041096,native,f867d421f51313129234fe240203632b94fcf831b061664455761962c23254f4
3R2D,B,K,test,cluster_3R2D,138,15,54,69,790.0237690223701,0,41,40,40,1,0,0.975609756097561,native,22f765301425539c977f274d39cf932a6e807dc0a34846133bcff1ad72d9d461
3R2D,K,B,test,cluster_3R2D,79,13,32,34,811.1742651025098,0,41,40,40,1,0,0.975609756097561,native,22f765301425539c977f274d39cf932a6e807dc0a34846133bcff1ad72d9d461
3R2C,A,J,test,cluster_3R2C,138,16,52,70,821.5182479409785,0,44,41,41,3,0,0.9318181818181818,native,f5667d991dd31f549e366788a786803477ed26569e30f2494129404090971ede
3R2C,J,A,test,cluster_3R2C,79,15,33,31,819.6685535847685,0,44,41,41,3,0,0.9318181818181818,native,f5667d991dd31f549e366788a786803477ed26569e30f2494129404090971ede
1P27,A,C,test,cluster_1P27,144,13,62,69,698.5481307722041,0,46,46,45,1,1,0.9574468085106383,native,9de2bdbb26e7a6fd0c73ca401978c4284e02a5f8104134c5d37538ef31e14469
1P27,C,A,test,cluster_1P27,144,13,61,70,735.4033479966744,0,46,46,45,1,1,0.9574468085106383,native,9de2bdbb26e7a6fd0c73ca401978c4284e02a5f8104134c5d37538ef31e14469
1HL6,D,C,test,cluster_1HL6,143,32,38,73,1784.5013700643442,0,99,99,94,5,5,0.9038461538461539,native,fdca4ee4bba46b0ccc1626298e4c20b0dbf1626d5cecee71e26fc6bf60a94e00
1HL6,C,D,test,cluster_1HL6,111,35,40,36,1964.9184494347317,0,99,99,94,5,5,0.9038461538461539,native,fdca4ee4bba46b0ccc1626298e4c20b0dbf1626d5cecee71e26fc6bf60a94e00
2VJF,A,B,test,cluster_2VJF,64,24,21,19,1377.965734142303,0,65,63,62,3,1,0.9393939393939394,native,33ab9ad129dabddc5b9244eda9f467475f61eb6c12fe0f2f997b07924194ff26
2VJF,B,A,test,cluster_2VJF,63,24,16,23,1284.5336502175578,0,65,63,62,3,1,0.9393939393939394,native,33ab9ad129dabddc5b9244eda9f467475f61eb6c12fe0f2f997b07924194ff26
2VJE,D,C,test,cluster_2VJE,62,17,24,21,1064.341318649412,0,53,54,53,0,1,0.9814814814814815,native,c70b96eeff0da529b57e47f856569c1dae7faee85ae52686dde11a352f5a2474
2VJE,C,D,test,cluster_2VJE,60,22,20,18,1038.1670263586927,0,53,54,53,0,1,0.9814814814814815,native,c70b96eeff0da529b57e47f856569c1dae7faee85ae52686dde11a352f5a2474
3BH6,B,A,test,cluster_3BH6,314,28,115,171,1289.0278744377065,0,72,68,67,5,1,0.9178082191780822,native,daba12370f982443375eafddc73514b66a068a6e326b4dacaad8c17fb648fcd2
3BH6,A,B,test,cluster_3BH6,161,22,50,89,1357.240597141089,0,72,68,67,5,1,0.9178082191780822,native,daba12370f982443375eafddc73514b66a068a6e326b4dacaad8c17fb648fcd2
3BH7,B,A,test,cluster_3BH7,314,25,116,173,1345.5308885778811,0,69,66,64,5,2,0.9014084507042254,native,c700982c887defe9d525c6cf2fc6e560da0af78a14957e8a8b6f20f071a12f34
3BH7,A,B,test,cluster_3BH7,161,21,50,90,1326.723957785466,0,69,66,64,5,2,0.9014084507042254,native,c700982c887defe9d525c6cf2fc6e560da0af78a14957e8a8b6f20f071a12f34
2Y8S,D,E,test,cluster_2Y8S,391,32,137,222,1671.2276780899097,0,92,91,89,3,2,0.9468085106382979,native,93f9211f7ad4217d557991bcf8620b7c4afe89c955c00dc4e2d71b916efe3ba5
2Y8S,E,D,test,cluster_2Y8S,35,33,2,0,1911.313190092746,0,92,91,89,3,2,0.9468085106382979,native,93f9211f7ad4217d557991bcf8620b7c4afe89c955c00dc4e2d71b916efe3ba5
2Y8T,D,E,test,cluster_2Y8T,395,35,143,217,1727.622797371989,0,97,92,90,7,2,0.9090909090909091,native,17409d8f53c67bf370275608a8752c6fd33b0dc118279273976a9ba006b57a72
2Y8T,E,D,test,cluster_2Y8T,36,34,2,0,2006.5486738643588,0,97,92,90,7,2,0.9090909090909091,native,17409d8f53c67bf370275608a8752c6fd33b0dc118279273976a9ba006b57a72
2OJE,D,A,test,cluster_2OJE,214,15,91,108,705.3660528481362,0,42,37,37,5,0,0.8809523809523809,native,79a9bc0c149002f1f5b2710ae4ece8cb1aed29363065203cef358687208a26f6
2OJE,A,D,test,cluster_2OJE,180,17,87,76,749.3093691167477,3,42,37,37,5,0,0.8809523809523809,native,79a9bc0c149002f1f5b2710ae4ece8cb1aed29363065203cef358687208a26f6
1R5I,D,A,test,cluster_1R5I,214,15,92,107,700.6963266959873,0,42,37,37,5,0,0.8809523809523809,native,c3567069bf7151c106db3fa901ed9ede18ffac5804c8e9a2e3f0542e0efb4d63
1R5I,A,D,test,cluster_1R5I,181,17,93,71,749.8575267693167,3,42,37,37,5,0,0.8809523809523809,native,c3567069bf7151c106db3fa901ed9ede18ffac5804c8e9a2e3f0542e0efb4d63
2H9A,A,B,test,cluster_2H9A,383,38,131,214,2082.9580756947394,0,106,104,102,4,2,0.9444444444444444,native,d6e4c9a17bb63425de8d6bdaa3792501144cf6fee6f399c608f1dc750ac80839
2H9A,B,A,test,cluster_2H9A,307,35,85,187,1989.533594424215,0,106,104,102,4,2,0.9444444444444444,native,d6e4c9a17bb63425de8d6bdaa3792501144cf6fee6f399c608f1dc750ac80839
1XVP,B,A,test,cluster_1XVP,246,26,83,137,1132.201165099572,0,67,58,58,9,0,0.8656716417910447,native,8f40f51bce3334aad6eef4820107f3cfc81ec8676c75418afd285e9153a17a4f
1XVP,A,B,test,cluster_1XVP,232,24,79,129,1134.8488868216473,0,67,58,58,9,0,0.8656716417910447,native,8f40f51bce3334aad6eef4820107f3cfc81ec8676c75418afd285e9153a17a4f
1XV9,B,A,test,cluster_1XV9,246,26,85,135,1185.256004842278,0,67,61,60,7,1,0.8823529411764706,native,006a503ef75cc62ff0fb5aa04dafd3cc0bcf45aa0569e34dd4275721869f4dc1
1XV9,A,B,test,cluster_1XV9,232,24,81,127,1216.8594844595955,0,67,61,60,7,1,0.8823529411764706,native,006a503ef75cc62ff0fb5aa04dafd3cc0bcf45aa0569e34dd4275721869f4dc1
3PNL,A,B,test,cluster_3PNL,356,23,115,218,1151.0195689883576,0,70,64,64,6,0,0.9142857142857143,native,21f7f8b2bba287c2adc68a7d4d6b88f4916d134ff4e59425d5a2663e44854c4d
3PNL,B,A,test,cluster_3PNL,211,23,69,119,1273.191646224897,0,70,64,64,6,0,0.9142857142857143,native,21f7f8b2bba287c2adc68a7d4d6b88f4916d134ff4e59425d5a2663e44854c4d
2R9Q,B,D,test,cluster_2R9Q,342,23,119,200,1224.5681611501554,0,71,69,66,5,3,0.8918918918918919,native,ac45cd699578a8056fca3453b4dc63c448413afc028c8a15f891579c6a7bf3d8
2R9Q,D,B,test,cluster_2R9Q,330,25,122,183,1266.747498276518,0,71,69,66,5,3,0.8918918918918919,native,ac45cd699578a8056fca3453b4dc63c448413afc028c8a15f891579c6a7bf3d8
1I8L,A,C,test,cluster_1I8L,199,11,96,92,588.5373848923821,0,34,32,31,3,1,0.8857142857142857,native,946b2788d1ccffb0ee7696ffbe1eeb70eebbc2deb46600f3b3f991b4bbcc98e4
1I8L,C,A,test,cluster_1I8L,118,11,56,51,632.2479845435862,0,34,32,31,3,1,0.8857142857142857,native,946b2788d1ccffb0ee7696ffbe1eeb70eebbc2deb46600f3b3f991b4bbcc98e4
3TFY,A,D,test,cluster_3TFY,155,6,72,77,319.8058760299472,0,22,21,21,1,0,0.9545454545454546,native,052fc064fae85ec488ba2d12998b94a8d592021ceef6c7d2f3caafe31d7ee970
3TFY,D,A,test,cluster_3TFY,4,4,0,0,434.6224418556716,0,22,21,21,1,0,0.9545454545454546,native,052fc064fae85ec488ba2d12998b94a8d592021ceef6c7d2f3caafe31d7ee970
1TO9,A,B,test,cluster_1TO9,225,19,83,123,1153.3419348088562,5,64,60,58,6,2,0.8787878787878788,native,6c703a8752b8c18fa57eed5d1e6d92f84aba0f113c9a0f37c46a4a24cad60463
1TO9,B,A,test,cluster_1TO9,223,17,80,126,1192.45478847879,7,64,60,58,6,2,0.8787878787878788,native,6c703a8752b8c18fa57eed5d1e6d92f84aba0f113c9a0f37c46a4a24cad60463
1QBK,C,B,test,cluster_1QBK,190,35,64,91,2026.3886231531264,3,126,111,107,19,4,0.823076923076923,native,8281c6d2b1bf34b623a701d38ec0543087dcbce973ed9e341e92117dbb346c17
1QBK,B,C,test,cluster_1QBK,880,48,351,481,1963.7196930763457,24,126,111,107,19,4,0.823076923076923,native,8281c6d2b1bf34b623a701d38ec0543087dcbce973ed9e341e92117dbb346c17
