pdb_id,designed_chain,fixed_chain,beta,replicate,net_charge_reported,n_residues_interface,n_residues_surface,n_residues_core,n_residues_total,charge_interface_simple,charge_surface_simple,charge_core_simple,charge_total_simple,charge_interface_ph7.4_emboss,charge_surface_ph7.4_emboss,charge_core_ph7.4_emboss,charge_total_ph7.4_emboss,charge_shift_interface_simple,charge_shift_surface_simple,charge_shift_core_simple,charge_shift_total_simple,charge_density_interface_simple,charge_density_surface_simple,charge_density_core_simple,native_charge_total_simple,n_mutations_from_native
2AST,B,A,-1.5,0,-139.0,26,115,184,325,-14,-84,-41,-139,-12.94107649205281,-84.85783486312324,-41.20515702428696,-139.004068379463,-15,-88,-33,-136,-0.5384615384615384,-0.7304347826086957,-0.22282608695652173,-3,176
2AST,B,A,0.0,0,-9.0,26,115,184,325,2,-7,-4,-9,2.940572515991887,-8.001399213366517,-4.218252458440015,-9.279079155814646,1,-11,4,-6,0.07692307692307693,-0.06086956521739131,-0.021739130434782608,-3,154
2AST,B,A,1.5,0,111.0,26,115,184,325,9,79,23,111,9.93846389840535,77.9676943373699,22.846562398042245,110.7527206338175,8,75,31,114,0.34615384615384615,0.6869565217391305,0.125,-3,176
2AST,B,A,3.0,0,182.0,26,115,184,325,19,106,57,182,19.934648052855653,104.96850604648452,56.8042401704664,181.7073942698065,18,102,65,185,0.7307692307692307,0.9217391304347826,0.30978260869565216,-3,201
3AAA,A,B,-3.0,0,-210.0,62,91,114,267,-53,-86,-71,-210,-53.0380023046676,-85.96449663261056,-71.05643711607561,-210.05893605335376,-53,-80,-69,-202,-0.8548387096774194,-0.945054945054945,-0.6228070175438597,-8,204
3AAA,A,B,-1.5,0,-153.0,62,91,114,267,-36,-77,-40,-153,-35.934188242686155,-76.96697216604288,-40.141487909278354,-153.04264831800737,-36,-71,-38,-145,-0.5806451612903226,-0.8461538461538461,-0.3508771929824561,-8,170
3AAA,A,B,0.0,0,-5.0,62,91,114,267,4,-11,2,-5,4.04380793369688,-10.997111765568842,1.944242679741956,-5.009061152130006,4,-5,4,3,0.06451612903225806,-0.12087912087912088,0.017543859649122806,-8,151
3AAA,A,B,1.5,0,125.0,62,91,114,267,33,70,22,125,33.037807175581044,69.97319052198168,21.837172959270088,124.84817065683282,33,76,24,133,0.532258064516129,0.7692307692307693,0.19298245614035087,-8,170
3AAA,A,B,3.0,0,179.0,62,91,114,267,47,81,51,179,46.932982823275275,80.9798150614425,50.911760833071355,178.8245587177891,47,87,53,187,0.7580645161290323,0.8901098901098901,0.4473684210526316,-8,190
1IZN,A,B,-3.0,0,-225.0,62,98,115,275,-51,-94,-80,-225,-50.867071886466796,-94.0204208556352,-79.97203925309644,-224.85953199519844,-53,-90,-77,-220,-0.8225806451612904,-0.9591836734693877,-0.6956521739130435,-5,218
1IZN,A,B,-1.5,0,-144.0,62,98,115,275,-29,-85,-30,-144,-28.877208658371163,-84.9820808581824,-29.8830710356926,-143.74236055224614,-31,-81,-27,-139,-0.46774193548387094,-0.8673469387755102,-0.2608695652173913,-5,196
1IZN,A,B,0.0,0,-22.0,62,98,115,275,-4,-21,3,-22,-3.7754921056629485,-21.196069866922095,3.145444221877878,-21.826117750707162,-6,-17,6,-17,-0.06451612903225806,-0.21428571428571427,0.02608695652173913,-5,196
1IZN,A,B,1.5,0,132.0,62,98,115,275,29,78,25,132,29.100542179226196,77.90601130433606,25.09597607601919,132.10252955958146,27,82,28,137,0.46774193548387094,0.7959183673469388,0.21739130434782608,-5,204
1IZN,A,B,3.0,0,205.0,62,98,115,275,48,92,65,205,47.994158648125165,91.91043632502641,65.09401543278803,204.9986104059396,46,96,68,210,0.7741935483870968,0.9387755102040817,0.5652173913043478,-5,224
3MTU,A,B,-3.0,0,-65.0,34,34,7,75,-27,-33,-5,-65,-26.987029148507585,-33.043955243873846,-4.997680127519115,-65.02866451990054,-27,-27,-4,-58,-0.7941176470588235,-0.9705882352941176,-0.7142857142857143,-7,55
3MTU,A,B,-1.5,0,-48.0,34,34,7,75,-17,-29,-2,-48,-16.99156590604284,-29.047211044235087,-1.9989981276583726,-48.0377750779363,-17,-23,-1,-41,-0.5,-0.8529411764705882,-0.2857142857142857,-7,47
3MTU,A,B,0.0,0,-3.0,34,34,7,75,3,-4,-2,-3,2.9992392699529553,-4.057760921296886,-1.9989981276583726,-3.0575197790023037,3,2,-1,4,0.08823529411764706,-0.11764705882352941,-0.2857142857142857,-7,42
3MTU,A,B,1.5,0,43.0,34,34,7,75,17,24,2,43,16.99635491554724,23.932201475595935,1.999984113561496,42.92854050470468,17,30,3,50,0.5,0.7058823529411765,0.2857142857142857,-7,47
3MTU,A,B,3.0,0,54.0,34,34,7,75,20,31,3,54,19.994771063789276,30.932329903733212,2.9995861648171913,53.92668713233968,20,37,4,61,0.5882352941176471,0.9117647058823529,0.42857142857142855,-7,60
3GJO,A,B,-3.0,0,-52.0,34,25,7,66,-24,-24,-4,-52,-23.052235095210616,-24.988558301188842,-3.9981810636899295,-52.03897446008939,-22,-17,-3,-42,-0.7058823529411765,-0.96,-0.5714285714285714,-10,43
3GJO,A,B,-1.5,0,-41.0,34,25,7,66,-14,-23,-4,-41,-13.058763141916602,-23.98868962061329,-3.9981810636899295,-41.04563382621982,-12,-16,-3,-31,-0.4117647058823529,-0.92,-0.5714285714285714,-10,37
3GJO,A,B,0.0,0,-6.0,34,25,7,66,2,-6,-2,-6,2.938294986423764,-6.996793585811089,-1.8871823578802558,-5.945680957267578,4,1,-1,4,0.058823529411764705,-0.24,-0.2857142857142857,-10,34
3GJO,A,B,1.5,0,35.0,34,25,7,66,15,21,-1,35,15.931867263966364,19.99336156267417,-0.9993960764026774,34.92583275023786,17,28,0,45,0.4411764705882353,0.84,-0.14285714285714285,-10,42
3GJO,A,B,3.0,0,49.0,34,25,7,66,22,23,4,49,22.928691617231177,21.992955670710618,3.9991882160728864,48.92083550401468,24,30,5,59,0.6470588235294118,0.92,0.5714285714285714,-10,48
1XQH,A,B,-3.0,0,-178.0,11,117,122,250,-9,-104,-65,-178,-8.99660042470178,-104.0195788806417,-64.99492918390493,-178.01110848924841,-5,-89,-66,-160,-0.8181818181818182,-0.8888888888888888,-0.5327868852459017,-18,173
1XQH,A,B,-1.5,0,-95.0,11,117,122,250,-8,-75,-12,-95,-7.9969165524994095,-74.80846142716774,-11.799097372612914,-94.60447535228008,-4,-60,-13,-77,-0.7272727272727273,-0.6410256410256411,-0.09836065573770492,-18,133
1XQH,A,B,0.0,0,-18.0,11,117,122,250,-2,-15,-1,-18,-1.999059559826363,-15.057979075765873,-0.6821359275105376,-17.73917456310277,2,0,-2,0,-0.18181818181818182,-0.1282051282051282,-0.00819672131147541,-18,125
1XQH,A,B,1.5,0,68.0,11,117,122,250,3,55,10,68,2.998806153767086,54.907610140777045,10.121348824765505,68.02776511930965,7,70,9,86,0.2727272727272727,0.4700854700854701,0.08196721311475409,-18,144
1XQH,A,B,3.0,0,161.0,11,117,122,250,9,104,48,161,8.999538505501679,103.90830845567922,47.75746566640662,160.6653126275875,13,119,47,179,0.8181818181818182,0.8888888888888888,0.39344262295081966,-18,177
1O9S,A,K,-3.0,0,-185.0,11,118,121,250,-11,-104,-70,-185,-10.996152977479705,-104.01994849738809,-70.05447554382472,-185.07057701869252,-6,-92,-69,-167,-1.0,-0.8813559322033898,-0.5785123966942148,-18,175
1O9S,A,K,-1.5,0,-101.0,11,118,121,250,-11,-74,-16,-101,-10.995598552360152,-73.9203055289438,-15.795184159705606,-100.71108824100955,-6,-62,-15,-83,-1.0,-0.6271186440677966,-0.1322314049586777,-18,135
1O9S,A,K,0.0,0,-5.0,11,118,121,250,-3,0,-2,-5,-2.9983738152823656,-0.06579634298650683,-1.9411242827483797,-5.005294441017251,2,12,-1,13,-0.2727272727272727,0.0,-0.01652892561983471,-18,123
1O9S,A,K,1.5,0,94.0,11,118,121,250,9,78,7,94,8.998758494451573,77.90701668316056,7.124678502854176,94.03045368046632,14,90,8,112,0.8181818181818182,0.6610169491525424,0.05785123966942149,-18,143
1O9S,A,K,3.0,0,161.0,11,118,121,250,9,104,48,161,8.999928511026733,103.90800097324508,47.91348351735746,160.82141300162925,14,116,49,179,0.8181818181818182,0.8813559322033898,0.39669421487603307,-18,176
3O1I,C,A,-3.0,0,-215.0,17,97,184,298,-17,-90,-108,-215,-17.993173704623644,-89.02420473694717,-107.96096997428461,-214.97834841585544,-18,-90,-102,-210,-1.0,-0.9278350515463918,-0.5869565217391305,-5,214
3O1I,C,A,-1.5,0,-125.0,17,97,184,298,-7,-78,-40,-125,-7.99914732621008,-77.02906551782354,-39.88475494575569,-124.91296778978929,-8,-78,-34,-120,-0.4117647058823529,-0.8041237113402062,-0.21739130434782608,-5,174
3O1I,C,A,0.0,0,-8.0,17,97,184,298,4,-21,9,-8,2.997745396631573,-19.938777300590875,9.262243618323415,-7.678788285635886,3,-21,15,-3,0.23529411764705882,-0.21649484536082475,0.04891304347826087,-5,173
3O1I,C,A,1.5,0,119.0,17,97,184,298,7,77,35,119,5.997331561448764,77.91491273137385,34.98254131628393,118.89478560910652,6,77,41,124,0.4117647058823529,0.7938144329896907,0.19021739130434784,-5,184
3O1I,C,A,3.0,0,188.0,17,97,184,298,12,88,88,188,10.998113117948074,88.91533844397928,87.98396699659237,187.89741855851972,11,88,94,193,0.7058823529411765,0.9072164948453608,0.4782608695652174,-5,207
3O1J,C,B,-3.0,0,-184.0,16,99,181,296,-10,-93,-81,-184,-10.997562696750965,-92.02122346144925,-81.05471270215048,-184.0734988603507,-12,-92,-74,-178,-0.625,-0.9393939393939394,-0.44751381215469616,-6,200
3O1J,C,B,-1.5,0,-130.0,16,99,181,296,-10,-79,-41,-130,-10.995571407580238,-78.02827678585304,-40.88569092131183,-129.9095391147451,-12,-78,-34,-124,-0.625,-0.797979797979798,-0.2265193370165746,-6,174
3O1J,C,B,0.0,0,-11.0,16,99,181,296,2,-9,-4,-11,0.9977612830700772,-8.05483312938942,-3.866465938405846,-10.923537784725188,0,-8,3,-5,0.125,-0.09090909090909091,-0.022099447513812154,-6,157
3O1J,C,B,1.5,0,97.0,16,99,181,296,6,73,18,97,4.999330793838745,73.9153969378012,17.976600567486717,96.89132829912667,4,74,25,103,0.375,0.7373737373737373,0.09944751381215469,-6,173
3O1J,C,B,3.0,0,173.0,16,99,181,296,10,93,70,173,8.99968902648679,93.91529872788303,69.90731985112998,172.82230760549976,8,94,77,179,0.625,0.9393939393939394,0.3867403314917127,-6,193
1BWU,D,A,-3.0,0,-82.0,26,33,50,109,-22,-30,-30,-82,-22.052196064416254,-29.987928848846536,-30.136540825132858,-82.17666573839567,-22,-26,-28,-76,-0.8461538461538461,-0.9090909090909091,-0.6,-6,82
1BWU,D,A,-1.5,0,-51.0,26,33,50,109,-12,-22,-17,-51,-12.05609657588529,-21.991012296347126,-17.143257632960314,-51.19036650519271,-12,-18,-15,-45,-0.46153846153846156,-0.6666666666666666,-0.34,-6,70
1BWU,D,A,0.0,0,-2.0,26,33,50,109,-2,1,-1,-2,-2.060612166940716,0.9998080261087131,-1.152421679944816,-2.2132258207768185,-2,5,1,4,-0.07692307692307693,0.030303030303030304,-0.02,-6,61
1BWU,D,A,1.5,0,41.0,26,33,50,109,9,18,14,41,8.9340234151115,17.996346972327988,13.84756108777871,40.7779314752182,9,22,16,47,0.34615384615384615,0.5454545454545454,0.28,-6,67
