pdb_id,designed_chain,partner_chain,beta,replicate,structure_source,ec_sum_product_simple,ec_mean_product_simple,ec_n_pairs,ec_n_attractive,ec_n_repulsive,ec_n_neutral,ec_contact_cutoff_a,ec_weight,ec_sum_product_ph7.4_emboss,ec_mean_product_ph7.4_emboss
3O1I,C,A,3.0,0,native,-6.0,-0.75,55,10,2,43,5.0,none,-5.890430257436986,-0.49086918811974883
3O1J,C,B,-3.0,0,native,4.0,0.5,52,3,8,41,5.0,none,3.8857965213981482,0.35325422921801347
3O1J,C,B,-1.5,0,native,3.0,0.3333333333333333,52,4,8,40,5.0,none,2.888086308797934,0.2406738590664945
3O1J,C,B,0.0,0,native,-3.0,-1.0,52,4,1,47,5.0,none,-3.000624443756249,-0.6001248887512498
3O1J,C,B,1.5,0,native,-2.0,-0.5,52,5,1,46,5.0,none,-2.0026355687177015,-0.33377259478628357
3O1J,C,B,3.0,0,native,-1.0,-0.1111111111111111,52,7,4,41,5.0,none,-1.0020350908323112,-0.09109409916657375
1BWU,D,A,-3.0,0,native,3.0,0.2,111,7,23,81,5.0,none,9.007676287201878,0.3002558762400626
1BWU,D,A,-1.5,0,native,4.0,0.3333333333333333,111,5,17,89,5.0,none,6.006752312547347,0.2730341960248794
1BWU,D,A,0.0,0,native,-3.0,-0.42857142857142855,111,7,11,93,5.0,none,-0.9953891597360152,-0.055299397763111956
1BWU,D,A,1.5,0,native,-1.0,-0.14285714285714285,111,6,11,94,5.0,none,-0.0007343169118458892,-4.319511246152289e-05
1BWU,D,A,3.0,0,native,-1.0,-0.058823529411764705,111,17,14,80,5.0,none,-1.0100294168327355,-0.03258159409137856
1KJ1,A,D,-3.0,0,native,3.0,0.3333333333333333,120,0,21,99,5.0,none,8.015154945404804,0.3816740450192764
1KJ1,A,D,-1.5,0,native,1.0,0.2,120,0,18,102,5.0,none,5.010840869431286,0.2783800483017381
1KJ1,A,D,0.0,0,native,-3.0,-0.6,120,5,10,105,5.0,none,0.007598724741568612,0.0005065816494379075
1KJ1,A,D,1.5,0,native,-2.0,-0.3333333333333333,120,8,9,103,5.0,none,-0.0009683417106911842,-5.696127709948143e-05
1KJ1,A,D,3.0,0,native,-4.0,-0.5,120,13,4,103,5.0,none,-4.00408967106181,-0.23553468653304765
1I7S,B,A,-3.0,0,native,5.0,0.2,102,14,17,71,5.0,none,4.768779771172275,0.1538316055216863
1I7S,B,A,-1.5,0,native,1.0,0.06666666666666667,102,10,8,84,5.0,none,0.6611931336939538,0.03673295187188633
1I7S,B,A,0.0,0,native,1.0,0.14285714285714285,102,6,8,88,5.0,none,0.8902937956335868,0.06359241397382763
1I7S,B,A,1.5,0,native,-1.0,-0.06666666666666667,102,10,11,81,5.0,none,-0.7738123329202542,-0.036848206329535914
1I7S,B,A,3.0,0,native,-2.0,-0.09090909090909091,102,14,16,72,5.0,none,-1.766839842552503,-0.05889466141841677
1I7Q,B,A,-3.0,0,native,9.0,0.3333333333333333,108,10,20,78,5.0,none,8.881706277092611,0.29605687590308705
1I7Q,B,A,-1.5,0,native,4.0,0.2857142857142857,108,7,12,89,5.0,none,3.8870428251920552,0.20458120132589763
1I7Q,B,A,0.0,0,native,3.0,0.3333333333333333,108,5,9,94,5.0,none,2.888475882305025,0.20631970587893037
1I7Q,B,A,1.5,0,native,0.0,0.0,108,9,10,89,5.0,none,-0.10845697578479041,-0.005708261883410021
1I7Q,B,A,3.0,0,native,-3.0,-0.17647058823529413,108,11,11,86,5.0,none,-2.8801314855741227,-0.1309150675260965
1X27,B,D,-3.0,0,native,3.0,0.17647058823529413,60,11,10,39,5.0,none,2.5477785920454314,0.1213227900974015
1X27,B,D,-1.5,0,native,-6.0,-0.6,60,8,3,49,5.0,none,-5.88646686649295,-0.535133351499359
1X27,B,D,0.0,0,native,-6.0,-1.0,60,7,1,52,5.0,none,-5.997446043863139,-0.7496807554828924
1X27,B,D,1.5,0,native,-4.0,-0.5,60,6,4,50,5.0,none,-3.7742931802256017,-0.3774293180225602
1X27,B,D,3.0,0,native,-4.0,-0.2857142857142857,60,9,9,42,5.0,none,-3.549164181493843,-0.19717578786076906
3UA7,A,B,-3.0,0,native,3.0,1.0,38,0,7,31,5.0,none,5.9986701989653755,0.8569528855664822
3UA7,A,B,-1.5,0,native,1.0,1.0,38,0,4,34,5.0,none,3.000224641108617,0.7500561602771543
3UA7,A,B,0.0,0,native,0.0,0.0,38,0,1,37,5.0,none,0.999525458092948,0.999525458092948
3UA7,A,B,1.5,0,native,0.0,0.0,38,1,1,36,5.0,none,-0.9978429341662333,-0.49892146708311663
3UA7,A,B,3.0,0,native,-2.0,-1.0,38,4,0,34,5.0,none,-3.001176730176965,-0.7502941825442413
1SG1,X,A,-3.0,0,native,-9.0,-0.6923076923076923,34,12,2,20,5.0,none,-9.069172594820232,-0.6477980424871594
1SG1,X,A,-1.5,0,native,-6.0,-0.6,34,10,2,22,5.0,none,-6.071951281907128,-0.5059959401589273
1SG1,X,A,0.0,0,native,1.0,1.0,34,2,1,31,5.0,none,0.9236260159256307,0.3078753386418769
1SG1,X,A,1.5,0,native,3.0,0.3333333333333333,34,5,6,23,5.0,none,2.9237385443243284,0.2657944131203935
1SG1,X,A,3.0,0,native,7.0,0.6363636363636364,34,4,9,21,5.0,none,6.922586779927363,0.5325066753790278
3BUK,C,B,-3.0,0,native,-10.0,-0.8333333333333334,41,15,9,17,5.0,none,-11.367350877005569,-0.473639619875232
3BUK,C,B,-1.5,0,native,-3.0,-0.6,41,6,3,32,5.0,none,-4.159941563215706,-0.46221572924618953
3BUK,C,B,0.0,0,native,-1.0,-0.3333333333333333,41,2,4,35,5.0,none,-0.9948503816959038,-0.1658083969493173
3BUK,C,B,1.5,0,native,3.0,0.42857142857142855,41,3,10,28,5.0,none,4.275544166880853,0.3288880128369887
3BUK,C,B,3.0,0,native,9.0,0.8181818181818182,41,7,15,19,5.0,none,10.373017623091918,0.47150080104963266
1BOU,B,A,-3.0,0,native,-13.0,-0.6842105263157895,163,17,19,127,5.0,none,-11.963611975695933,-0.3323225548804426
1BOU,B,A,-1.5,0,native,-6.0,-0.5,163,11,13,139,5.0,none,-4.977633816849316,-0.20740140903538817
1BOU,B,A,0.0,0,native,2.0,0.2,163,9,11,143,5.0,none,1.1187724943896284,0.055938624719481425
1BOU,B,A,1.5,0,native,3.0,0.2727272727272727,163,12,11,140,5.0,none,2.112376710654712,0.09184246568063967
1BOU,B,A,3.0,0,native,11.0,0.6470588235294118,163,16,14,133,5.0,none,9.971890017411154,0.3323963339137051
1B4U,B,A,-3.0,0,native,-13.0,-0.6190476190476191,157,17,19,121,5.0,none,-12.965211801971142,-0.36014477227697617
1B4U,B,A,-1.5,0,native,-6.0,-0.75,157,7,11,139,5.0,none,-5.977919878434441,-0.33210665991302446
1B4U,B,A,0.0,0,native,-2.0,-0.25,157,8,7,142,5.0,none,-1.8804088549567415,-0.12536059033044944
1B4U,B,A,1.5,0,native,5.0,0.5555555555555556,157,6,10,141,5.0,none,5.111266505435373,0.3194541565897108
1B4U,B,A,3.0,0,native,10.0,0.625,157,15,14,128,5.0,none,9.976706142819666,0.34402434975240226
1GO4,A,G,-3.0,0,native,-11.0,-0.7333333333333333,103,20,5,78,5.0,none,-11.770196494978967,-0.4708078597991587
1GO4,A,G,-1.5,0,native,-10.0,-0.8333333333333334,103,16,3,84,5.0,none,-10.548457906735873,-0.5551819950913618
1GO4,A,G,0.0,0,native,-5.0,-0.38461538461538464,103,12,7,84,5.0,none,-5.215360356755854,-0.27449265035557124
1GO4,A,G,1.5,0,native,9.0,0.6923076923076923,103,5,15,83,5.0,none,9.214384982055229,0.46071924910276146
1GO4,A,G,3.0,0,native,12.0,0.75,103,5,19,79,5.0,none,12.54738525126592,0.5228077188027467
3R2D,B,K,-3.0,0,native,-9.0,-0.6923076923076923,57,14,2,41,5.0,none,-9.329182444738592,-0.583073902796162
3R2D,B,K,-1.5,0,native,-8.0,-1.0,57,13,1,43,5.0,none,-8.331456972070933,-0.5951040694336381
3R2D,B,K,0.0,0,native,-2.0,-0.3333333333333333,57,8,3,46,5.0,none,-2.2233237183524612,-0.20212033803204194
3R2D,B,K,1.5,0,native,0.0,0.0,57,5,4,48,5.0,none,-0.0012931973868759439,-0.00014368859854177154
3R2D,B,K,3.0,0,native,9.0,0.6923076923076923,57,2,13,42,5.0,none,9.218946389218551,0.6145964259479034
3R2C,A,J,-3.0,0,native,-11.0,-0.8461538461538461,61,18,2,41,5.0,none,-11.550802189891533,-0.5775401094945767
3R2C,A,J,-1.5,0,native,-6.0,-1.0,61,12,1,48,5.0,none,-6.333086722437874,-0.48716051711060565
3R2C,A,J,0.0,0,native,-2.0,-0.5,61,8,4,49,5.0,none,-2.000692318434358,-0.16672435986952983
3R2C,A,J,1.5,0,native,6.0,1.0,61,5,9,47,5.0,none,5.994582100516903,0.42818443575120735
3R2C,A,J,3.0,0,native,6.0,0.75,61,4,10,47,5.0,none,6.218421029571957,0.44417293068371116
1P27,A,C,-3.0,0,native,-7.0,-0.21212121212121213,50,24,16,10,5.0,none,-7.442393353489443,-0.18605983383723607
1P27,A,C,-1.5,0,native,-7.0,-0.21212121212121213,50,24,16,10,5.0,none,-7.442578452755271,-0.18606446131888177
1P27,A,C,0.0,0,native,0.0,0.0,50,19,16,15,5.0,none,-0.005149853229672763,-0.0001471386637049361
1P27,A,C,1.5,0,native,6.0,0.2,50,15,20,15,5.0,none,6.222078454180422,0.17777367011944062
1P27,A,C,3.0,0,native,7.0,0.22580645161290322,50,15,23,12,5.0,none,7.334611620705473,0.19301609528172295
1HL6,D,C,-3.0,0,native,-16.0,-0.38095238095238093,132,34,20,78,5.0,none,-17.279336623061035,-0.31998771524187103
1HL6,D,C,-1.5,0,native,-4.0,-0.15384615384615385,132,26,14,92,5.0,none,-6.231573368997214,-0.15578933422493035
1HL6,D,C,0.0,0,native,-2.0,-0.1,132,19,11,102,5.0,none,-3.0707285783217744,-0.10235761927739248
1HL6,D,C,1.5,0,native,5.0,0.23809523809523808,132,16,15,101,5.0,none,4.134390299368578,0.1333674290118896
1HL6,D,C,3.0,0,native,15.0,0.40540540540540543,132,17,28,87,5.0,none,16.132746321432958,0.3585054738096213
2VJF,A,B,-3.0,0,native,-10.0,-0.8333333333333334,101,14,8,79,5.0,none,-2.5449389270884635,-0.1156790421403847
2VJF,A,B,-1.5,0,native,-6.0,-1.0,101,12,6,83,5.0,none,-2.5804173654850677,-0.14335652030472598
2VJF,A,B,0.0,0,native,0.0,0.0,101,9,6,86,5.0,none,0.5279890208471197,0.03519926805647465
2VJF,A,B,1.5,0,native,9.0,1.0,101,8,11,82,5.0,none,8.560355261986448,0.45054501378876044
2VJF,A,B,3.0,0,native,9.0,0.6,101,14,13,74,5.0,none,6.454715081084635,0.23906352152165317
2VJE,D,C,-3.0,0,native,-4.0,-0.6666666666666666,81,9,9,63,5.0,none,-3.065190763062885,-0.17028837572571584
2VJE,D,C,-1.5,0,native,-1.0,-0.3333333333333333,81,7,4,70,5.0,none,-2.275556709751327,-0.20686879179557519
2VJE,D,C,0.0,0,native,2.0,1.0,81,7,3,71,5.0,none,-1.0572977116301348,-0.10572977116301348
2VJE,D,C,1.5,0,native,2.0,1.0,81,8,3,70,5.0,none,-2.056741361742099,-0.18697648743109993
2VJE,D,C,3.0,0,native,2.0,0.5,81,10,6,65,5.0,none,-3.0052048163583844,-0.18782530102239903
3BH6,B,A,-3.0,0,native,-11.0,-0.3793103448275862,77,24,9,44,5.0,none,-12.441197520315363,-0.3770059854641019
3BH6,B,A,-1.5,0,native,-7.0,-0.28,77,16,9,52,5.0,none,-7.995802780748859,-0.31983211122995436
3BH6,B,A,0.0,0,native,2.0,0.125,77,9,10,58,5.0,none,1.000482714334367,0.05265698496496669
3BH6,B,A,1.5,0,native,9.0,0.36,77,8,18,51,5.0,none,8.11083421483409,0.3119551621090035
3BH6,B,A,3.0,0,native,10.0,0.35714285714285715,77,10,21,46,5.0,none,9.330649569163624,0.30098869577947174
3BH7,B,A,-3.0,0,native,-11.0,-0.4074074074074074,79,24,8,47,5.0,none,-12.664426510939453,-0.3957633284668579
3BH7,B,A,-1.5,0,native,-9.0,-0.47368421052631576,79,21,7,51,5.0,none,-10.441800607350107,-0.37292145026250384
3BH7,B,A,0.0,0,native,-2.0,-0.2,79,10,6,63,5.0,none,-3.110682611092495,-0.19441766319328094
3BH7,B,A,1.5,0,native,7.0,0.3333333333333333,79,10,16,53,5.0,none,5.997363368676705,0.23066782187218096
3BH7,B,A,3.0,0,native,10.0,0.38461538461538464,79,8,21,50,5.0,none,9.221272841163046,0.3179749255573464
2Y8S,D,E,-3.0,0,native,12.0,0.75,133,5,23,105,5.0,none,12.217286433608422,0.4363316583431579
2Y8S,D,E,-1.5,0,native,6.0,0.6,133,8,12,113,5.0,none,4.83251881515845,0.2416259407579225
2Y8S,D,E,0.0,0,native,-4.0,-0.5,133,11,4,118,5.0,none,-5.267296897225317,-0.3511531264816878
2Y8S,D,E,1.5,0,native,-8.0,-0.6666666666666666,133,19,7,107,5.0,none,-9.194863868314664,-0.3536486103197948
2Y8S,D,E,3.0,0,native,-11.0,-0.7333333333333333,133,22,7,104,5.0,none,-12.10476778818149,-0.4174057857993617
2Y8T,D,E,-3.0,0,native,17.0,0.8947368421052632,149,5,26,118,5.0,none,17.9402670945286,0.5787182933718903
2Y8T,D,E,-1.5,0,native,6.0,0.5,149,7,14,128,5.0,none,2.9699283596724837,0.141425159984404
2Y8T,D,E,0.0,0,native,-1.0,-0.1111111111111111,149,7,9,133,5.0,none,-1.009035633695632,-0.063064727105977
2Y8T,D,E,1.5,0,native,-10.0,-0.8333333333333334,149,15,5,129,5.0,none,-10.902432669130077,-0.5451216334565039
2Y8T,D,E,3.0,0,native,-16.0,-0.8888888888888888,149,25,5,119,5.0,none,-17.942751529806838,-0.598091717660228
2OJE,D,A,-3.0,0,native,-7.0,-0.6363636363636364,45,9,3,33,5.0,none,-6.992478636546219,-0.5827065530455182
2OJE,D,A,-1.5,0,native,-7.0,-0.7777777777777778,45,8,2,35,5.0,none,-6.992560416505822,-0.6992560416505822
